Dataset Reg ID,Dataset Name,Dataset Schema Version,Virtual Folder Name,Datasource URI,Attribute Name,Attribute Value Sequence,Attribute Category Value,Frequency_Count
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,3,2,27
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,4,4,24
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,5,3,18
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,6,7,14
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,7,6,14
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,8,5,12
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,9,8,9
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,10,,9
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,11,10,6
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,12,14,5
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,13,23,4
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,14,11,4
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,15,12,4
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,16,16,4
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,17,9,4
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,18,29,3
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,19,30,3
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_dlq_status,20,26,3
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,1,3.375,463
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,2,2.875,429
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,3,3.125,409
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,4,3,382
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,5,4.25,344
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,6,3.75,333
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,7,3.625,330
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,8,3.5,327
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,9,3.25,327
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,10,2.625,327
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,11,2.99,273
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,12,3.99,251
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,13,6.625,235
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,14,2.75,234
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,15,4.125,233
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,16,4.875,224
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,17,5.25,222
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,18,4.5,195
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,19,4,171
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_int_rate,20,5.125,168
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,curr_schedule_prinicipal,1,,9500
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,1,45,612
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,2,38,462
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,3,41,422
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,4,43,413
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,5,48,388
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,6,39,375
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,7,35,375
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,8,30,343
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,9,34,340
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,10,40,335
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,11,44,335
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,12,36,314
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,13,25,306
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,14,26,303
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,15,49,301
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,16,50,298
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,17,37,266
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,18,42,266
DSET000114,Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,dti,19,27,256
